customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,avg_order_value,discount_applied_flag,promo_code_used_flag,subscription_flag,frequency_score,satisfaction_flag,satisfaction_level,promo_dependency_score,promo_dependency_level,value_score,value_tier,loyalty_def_1,loyalty_def_2,customer_segment,age_group,spend_level,retention_score,retention_level
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,3.7857142857142856,1,1,1,6,0,Medium Satisfaction,1.0,High Promo Dependency,0.4030064102564103,Mid Value,0,0,One-Time Bargain Hunters,55+,Medium Spend,0.48012820512820514,Medium Retention
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,32.0,1,1,1,6,0,Medium Satisfaction,1.0,High Promo Dependency,0.38137820512820514,Mid Value,0,0,One-Time Bargain Hunters,18-24,Medium Spend,0.3353589743589744,Low Retention
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,3.1739130434782608,1,1,1,7,0,Medium Satisfaction,1.0,High Promo Dependency,0.5472692307692307,Premium Value,0,0,One-Time Bargain Hunters,45-54,Medium Spend,0.643025641025641,High Retention
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,1.836734693877551,1,1,1,7,0,Medium Satisfaction,1.0,High Promo Dependency,0.7390192307692307,Premium Value,1,0,Promo-Dependent Regulars,18-24,High Spend,0.9561794871794871,High Retention
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,1.5806451612903225,1,1,1,2,0,Low Satisfaction,1.0,High Promo Dependency,0.35805128205128206,Mid Value,0,0,One-Time Bargain Hunters,45-54,Medium Spend,0.45471794871794874,Medium Retention
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,1.4285714285714286,1,1,1,7,0,Low Satisfaction,1.0,High Promo Dependency,0.306224358974359,Low Value,0,0,One-Time Bargain Hunters,45-54,Low Spend,0.5355641025641026,Medium Retention
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,1.7346938775510203,1,1,1,4,0,Medium Satisfaction,1.0,High Promo Dependency,0.6221730769230769,Premium Value,1,0,Promo-Dependent Regulars,55+,High Spend,0.7574102564102564,High Retention
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,1.7894736842105263,1,1,1,7,0,Medium Satisfaction,1.0,High Promo Dependency,0.38544230769230775,Mid Value,0,0,One-Time Bargain Hunters,25-34,Low Spend,0.5938717948717949,Medium Retention
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,12.125,1,1,1,2,0,Low Satisfaction,1.0,High Promo Dependency,0.419,Mid Value,0,0,One-Time Bargain Hunters,25-34,High Spend,0.17933333333333334,Low Retention
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,7.75,1,1,1,4,1,High Satisfaction,1.0,High Promo Dependency,0.2999615384615385,Low Value,0,0,One-Time Bargain Hunters,55+,Low Spend,0.21856410256410258,Low Retention
